codigo,nombre,capitulo,vigente
015308,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA SUBFRONTAL,CapItulo 01 SISTEMA NERVIOSO,1
015309,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA POR ORBITOTOMÍA LATERAL,CapItulo 01 SISTEMA NERVIOSO,1
015310,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA TRANSESFENOIDAL,CapItulo 01 SISTEMA NERVIOSO,1
015311,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA TRANSESFENOIDAL ENDOSCÓPICA,CapItulo 01 SISTEMA NERVIOSO,1
015313,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA MEDIA VÍA ENDONASAL (EXTENDIDA),CapItulo 01 SISTEMA NERVIOSO,1
015314,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA INFRATEMPORAL TRANSPTERIGOIDEA,CapItulo 01 SISTEMA NERVIOSO,1
015401,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR- VÍA EXTREMO LATERAL,CapItulo 01 SISTEMA NERVIOSO,1
015402,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR- VÍA FRONTO ORBITO ETMOIDAL,CapItulo 01 SISTEMA NERVIOSO,1
015403,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR- VÍA SUBTEMPORAL PREAURICULAR INFRATEMPORAL Y CERVICOTOMÍA TRANSMANDIBULAR,CapItulo 01 SISTEMA NERVIOSO,1
015404,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR- VÍA TRANSORAL,CapItulo 01 SISTEMA NERVIOSO,1
015405,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR- VÍA MAXILOTOMÍA EXTENDIDA,CapItulo 01 SISTEMA NERVIOSO,1
015406,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR- VÍA TRANSLABERÍNTICA,CapItulo 01 SISTEMA NERVIOSO,1
015407,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR- VÍA TRANSCOCLEAR,CapItulo 01 SISTEMA NERVIOSO,1
015408,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR- VÍA FOSA MEDIA,CapItulo 01 SISTEMA NERVIOSO,1
015409,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR- VÍA SUBOCCIPITAL RETROMASTOIDEA,CapItulo 01 SISTEMA NERVIOSO,1
015410,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR,CapItulo 01 SISTEMA NERVIOSO,1
015411,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA ENDONASAL (EXTENDIDA),CapItulo 01 SISTEMA NERVIOSO,1
015412,RESECCIÓN DE TUMOR O LESIÓN DE LA BASE DEL CRÁNEO FOSA POSTERIOR VÍA TRANSTUBERCULOYUGULAR O TRANSCONDILAR,CapItulo 01 SISTEMA NERVIOSO,1
015501,TOMA DE INJERTO ÓSEO DE CRÁNEO,CapItulo 01 SISTEMA NERVIOSO,1
015502,RESECCIÓN DE TEJIDO CRANEAL,CapItulo 01 SISTEMA NERVIOSO,1
016101,RESECCIÓN TUMOR DE MENINGE CEREBRAL- POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
016102,RESECCIÓN TUMOR DE MENINGE CEREBRAL- POR CRANIECTOMÍA CON DUROPLASTIA Y CRANEOPLASTIA,CapItulo 01 SISTEMA NERVIOSO,1
016103,RESECCIÓN DE TUMORES EN MENINGES CEREBRALES,CapItulo 01 SISTEMA NERVIOSO,1
016201,RESECCIÓN TUMOR DE LA HOZ- POR CRANEOTOMÍA Y PLASTIA,CapItulo 01 SISTEMA NERVIOSO,1
016202,RESECCIÓN TUMORES DE LA HOZ,CapItulo 01 SISTEMA NERVIOSO,1
016301,RESECCIÓN TUMOR DEL TENTORIO- POR CRANEOTOMÍA,CapItulo 01 SISTEMA NERVIOSO,1
016302,RESECCIÓN TUMORES DEL TENTORIO,CapItulo 01 SISTEMA NERVIOSO,1
016401,DRENAJE DE QUISTE ARACNOIDEO GUIADO POR ESTEREOTAXIA,CapItulo 01 SISTEMA NERVIOSO,1
