codigo_cups,codigo_soat,descripcion_soat,clase,cobertura,uvb,valor_pesos
016402,1144,EXTIRPACION DE LESION Y/O TEJIDO DE LAS MENINGES CEREBRALES,GRUPO,POS,20,3572100
017001,1108,CRANEOTOMIA PARA DRENAJE HEMATOMA INTRACEREBRAL,GRUPO,POS,13,3886400
017002,1108,CRANEOTOMIA PARA DRENAJE HEMATOMA INTRACEREBRAL,GRUPO,POS,13,3886400
017002,1150,PUNCION ESTEREOTAXICA DE QUISTES - ABCESOS Y HEMATOMAS INTRACRANEANOS,GRUPO,POS,20,3572100
017003,1108,CRANEOTOMIA PARA DRENAJE HEMATOMA INTRACEREBRAL,GRUPO,POS,13,3886400
017003,21510,DRENAJE PERCUTANEO DE ABSCESOS O COLECCIONES,PUNTOS,POS,38.21,441400
017003,1150,PUNCION ESTEREOTAXICA DE QUISTES - ABCESOS Y HEMATOMAS INTRACRANEANOS,GRUPO,POS,20,3572100
017004,1104,CRANEOTOMIA PARA DRENAJE DE HEMATOMA DE FOSA POSTERIOR,GRUPO,POS,20,3572100
017005,1104,CRANEOTOMIA PARA DRENAJE DE HEMATOMA DE FOSA POSTERIOR,GRUPO,POS,20,3572100
017005,1150,PUNCION ESTEREOTAXICA DE QUISTES - ABCESOS Y HEMATOMAS INTRACRANEANOS,GRUPO,POS,20,3572100
017006,1102,CRANEOTOMIA PARA DRENAJE HEMATOMA EPIDURAL O SUBDURAL,GRUPO,POS,20,3572100
017201,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
017201,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
017202,1162,CRANEOPLASTIA PARA CORRECCION DE DEFECTO POR RESECCION DEL TUMOR OSEO O INFECCION,GRUPO,POS,20,3572100
017202,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
017202,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
017203,1152,BIOPSIA ESTEROTAXICA DE LESIONES CEREBRALES,GRUPO,POS,20,3572100
017203,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
017203,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
017204,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
017204,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
017205,1152,BIOPSIA ESTEROTAXICA DE LESIONES CEREBRALES,GRUPO,POS,20,3572100
017205,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
017205,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
017206,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
017209,1125,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA ANTERIOR,GRUPO,POS,20,3572100
017209,1126,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA MEDIA,GRUPO,POS,20,3572100
017301,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
017302,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
017302,17101,ESTEROATAXICA,GRUPO,POS,10,3170500
017303,1108,CRANEOTOMIA PARA DRENAJE HEMATOMA INTRACEREBRAL,GRUPO,POS,13,3886400
017303,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
017401,1120,CRANEOTOMIA PARA EXTIRPACION ADENOMAS HIPOFISIARIOS,GRUPO,POS,22,4980800
017401,1121,CRANEOTOMIA PARA EXTIRPACION ADENOMAS HIPOFISIARIOS (VIA TRANSESFENOIDAL),GRUPO,POS,22,4980800
017401,1124,CRANEOTOMIA PARA PINEALECTOMIA,GRUPO,POS,23,7112200
017401,1122,CRANEOTOMIA PARA RESECCION DE CRANEOFARINGIOMA,GRUPO,POS,23,7112200
017401,1133,CRANEOTOMIA PARA TUMORES DE CUERPO CALLOSO,GRUPO,POS,20,3572100
017403,1120,CRANEOTOMIA PARA EXTIRPACION ADENOMAS HIPOFISIARIOS,GRUPO,POS,22,4980800
017403,1121,CRANEOTOMIA PARA EXTIRPACION ADENOMAS HIPOFISIARIOS (VIA TRANSESFENOIDAL),GRUPO,POS,22,4980800
017403,1124,CRANEOTOMIA PARA PINEALECTOMIA,GRUPO,POS,23,7112200
017403,1122,CRANEOTOMIA PARA RESECCION DE CRANEOFARINGIOMA,GRUPO,POS,23,7112200
017403,1133,CRANEOTOMIA PARA TUMORES DE CUERPO CALLOSO,GRUPO,POS,20,3572100
017404,1124,CRANEOTOMIA PARA PINEALECTOMIA,GRUPO,POS,23,7112200
017405,1124,CRANEOTOMIA PARA PINEALECTOMIA,GRUPO,POS,23,7112200
017406,1124,CRANEOTOMIA PARA PINEALECTOMIA,GRUPO,POS,23,7112200
017501,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
017502,1152,BIOPSIA ESTEROTAXICA DE LESIONES CEREBRALES,GRUPO,POS,20,3572100
017502,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
017502,1150,PUNCION ESTEREOTAXICA DE QUISTES - ABCESOS Y HEMATOMAS INTRACRANEANOS,GRUPO,POS,20,3572100
017504,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
017505,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
017508,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
017509,1127,CRANEOTOMIA PARA RESECCION DE TUMORES DE FOSA POSTERIOR,GRUPO,POS,21,4300600
017601,1123,CRANEOTOMIA PARA DRENAJE Y EXTRACCION DE TUMORES INTRAVENTRICULARES (INCLUYE: QUISTE COLOIDE DEL TERCER VENTRICULO),GRUPO,POS,22,4980800
017603,1123,CRANEOTOMIA PARA DRENAJE Y EXTRACCION DE TUMORES INTRAVENTRICULARES (INCLUYE: QUISTE COLOIDE DEL TERCER VENTRICULO),GRUPO,POS,22,4980800
017701,1123,CRANEOTOMIA PARA DRENAJE Y EXTRACCION DE TUMORES INTRAVENTRICULARES (INCLUYE: QUISTE COLOIDE DEL TERCER VENTRICULO),GRUPO,POS,22,4980800
017702,1123,CRANEOTOMIA PARA DRENAJE Y EXTRACCION DE TUMORES INTRAVENTRICULARES (INCLUYE: QUISTE COLOIDE DEL TERCER VENTRICULO),GRUPO,POS,22,4980800
017801,1123,CRANEOTOMIA PARA DRENAJE Y EXTRACCION DE TUMORES INTRAVENTRICULARES (INCLUYE: QUISTE COLOIDE DEL TERCER VENTRICULO),GRUPO,POS,22,4980800
017802,1123,CRANEOTOMIA PARA DRENAJE Y EXTRACCION DE TUMORES INTRAVENTRICULARES (INCLUYE: QUISTE COLOIDE DEL TERCER VENTRICULO),GRUPO,POS,22,4980800
017803,1123,CRANEOTOMIA PARA DRENAJE Y EXTRACCION DE TUMORES INTRAVENTRICULARES (INCLUYE: QUISTE COLOIDE DEL TERCER VENTRICULO),GRUPO,POS,22,4980800
017806,1123,CRANEOTOMIA PARA DRENAJE Y EXTRACCION DE TUMORES INTRAVENTRICULARES (INCLUYE: QUISTE COLOIDE DEL TERCER VENTRICULO),GRUPO,POS,22,4980800
017807,1123,CRANEOTOMIA PARA DRENAJE Y EXTRACCION DE TUMORES INTRAVENTRICULARES (INCLUYE: QUISTE COLOIDE DEL TERCER VENTRICULO),GRUPO,POS,22,4980800
018103,1143,HEMISFERECTOMIA,GRUPO,POS,22,4980800
018104,1143,HEMISFERECTOMIA,GRUPO,POS,22,4980800
018105,1143,HEMISFERECTOMIA,GRUPO,POS,22,4980800
018106,1143,HEMISFERECTOMIA,GRUPO,POS,22,4980800
018107,1143,HEMISFERECTOMIA,GRUPO,POS,22,4980800
018201,1143,HEMISFERECTOMIA,GRUPO,POS,22,4980800
018202,1143,HEMISFERECTOMIA,GRUPO,POS,22,4980800
019101,1141,LOBECTOMIA,GRUPO,POS,20,3572100
019201,1141,LOBECTOMIA,GRUPO,POS,20,3572100
020001,,REMODELACION CRANEANA TOTAL,,POS,,
020105,1148,CORRECCION DE ENFERMEDAD DE CROUZON,GRUPO,POS,23,7112200
020105,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
020106,1148,CORRECCION DE ENFERMEDAD DE CROUZON,GRUPO,POS,23,7112200
020106,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
020107,1148,CORRECCION DE ENFERMEDAD DE CROUZON,GRUPO,POS,23,7112200
020107,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
020108,1148,CORRECCION DE ENFERMEDAD DE CROUZON,GRUPO,POS,23,7112200
020108,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
020109,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
020110,1148,CORRECCION DE ENFERMEDAD DE CROUZON,GRUPO,POS,23,7112200
020110,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
020111,1148,CORRECCION DE ENFERMEDAD DE CROUZON,GRUPO,POS,23,7112200
020111,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
020112,1165,CRANEOPLASTIA CON REEMPLAZO OSEO,GRUPO,POS,20,3572100
020113,1148,CORRECCION DE ENFERMEDAD DE CROUZON,GRUPO,POS,23,7112200
020113,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
020114,,ROTACION DE HEMICARAS O BIPARTICION FACIAL,,POS,,
020115,1148,CORRECCION DE ENFERMEDAD DE CROUZON,GRUPO,POS,23,7112200
020115,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
020116,1148,CORRECCION DE ENFERMEDAD DE CROUZON,GRUPO,POS,23,7112200
020116,1161,CRANIECTOMIA LINEAL,GRUPO,POS,12,3641200
020201,1163,ESQUIRLECTOMIA CRANEAL,GRUPO,POS,12,3641200
020202,1163,ESQUIRLECTOMIA CRANEAL,GRUPO,POS,12,3641200
020203,1160,CORRECCION HUNDIMIENTO CRANEANO,GRUPO,POS,12,3641200
020203,1164,CRANEOPLASTIA CON ACRILICO,GRUPO,POS,13,3886400
020203,1165,CRANEOPLASTIA CON REEMPLAZO OSEO,GRUPO,POS,20,3572100
020203,1163,ESQUIRLECTOMIA CRANEAL,GRUPO,POS,12,3641200
020204,1160,CORRECCION HUNDIMIENTO CRANEANO,GRUPO,POS,12,3641200
020204,1352,INJERTO DURAL,GRUPO,POS,20,3572100
020205,1163,ESQUIRLECTOMIA CRANEAL,GRUPO,POS,12,3641200
020206,,REDUCCION DE FRACTURA CRANEAL VIA ENDOSCOPICA,,POS,,
020401,1165,CRANEOPLASTIA CON REEMPLAZO OSEO,GRUPO,POS,20,3572100
020402,1165,CRANEOPLASTIA CON REEMPLAZO OSEO,GRUPO,POS,20,3572100
020501,1164,CRANEOPLASTIA CON ACRILICO,GRUPO,POS,13,3886400
020502,1164,CRANEOPLASTIA CON ACRILICO,GRUPO,POS,13,3886400
020503,1164,CRANEOPLASTIA CON ACRILICO,GRUPO,POS,13,3886400
020601,1164,CRANEOPLASTIA CON ACRILICO,GRUPO,POS,13,3886400
020601,1165,CRANEOPLASTIA CON REEMPLAZO OSEO,GRUPO,POS,20,3572100
020602,,OSTEOPLASTIA CRANEAL,,POS,,
020701,1101,CRANEOTOMIA PARA EXTRACCION CUERPO EXTRAÑO; INCLUYE ESQUIRLECTOMIA,GRUPO,POS,9,2376200
