codigo_iss,clase,codigo_cups,descripcion,tipo_valor,uvr,valor_pesos
213416,PB,876132,ARTERIOGRAFIA PULMONAR BILATERAL SELECTIVA,PESOS,,478270
213417,PB,872202,AORTOGRAMA ABDOMINAL Y ESTUDIO DE MIEMBROS INFERIORES,PESOS,,543280
213417,PB,878201,ARTERIOGRAFIA PERIFERICA DE UNA EXTREMIDAD INFERIOR POR PUNCION (151),PESOS,,300015
213417,PB,878211,ARTERIOGRAFIA PERIFERICA DE MIEMBROS INFERIORES BILATERAL CON AORTOGRAMA ABDOMINAL,PESOS,,543280
213418,PB,385320,OCLUSION DE VASOS DE MIEMBROS SUPERIORES POR VIA ENDOVASCULAR (78),PESOS,,358385
213418,PB,385520,OCLUSION DE VASOS TORACICOS POR VIA ENDOVASCULAR,PESOS,,358385
213418,PB,385620,OCLUSION DE ARTERIAS ABDOMINALES POR VIA ENDOVASCULAR,PESOS,,358385
213418,PB,385720,OCLUSION DE VENAS INTRAABDOMINALES POR VIA ENDOVASCULAR,PESOS,,358385
213418,PB,385820,OCLUSION DE ARTERIAS DE MIEMBROS INFERIORES POR VIA ENDOVASCULAR,PESOS,,358385
213418,PB,385920,OCLUSION DE VENAS DE MIEMBROS INFERIORES POR VIA ENDOVASCULAR,PESOS,,358385
213418,PB,395302,REPARACION DE FISTULA ARTERIOVENOSA POR EMBOLIZACION,PESOS,,358385
213419,PB,878922,FARMACOANGIOGRAFIA PERCUTANEA,PESOS,,291145
213420,PB,395060,ANGIOPLASTIA O ATERECTOMIA DE VASOS ABDOMINALES CON BALON NCOC (59),PESOS,,717465
213420,PB,395080,"ANGIOPLASTIA O ATERECTOMIA DE VASOS DE MIEMBROS INFERIORES, CON BALON (59)",PESOS,,717465
213421,PB,395030,ANGIOPLASTIA CON BALON DE VASOS DE MIEMBROS SUPERIORES (59),PESOS,,717465
213422,PB,395021,"ANGIOPLASTIA O ATERECTOMIA CON BALON DE VASOS DE CABEZA Y CUELLO, CON PROTESIS (STENT) O INJERTO(S) PROTESICO (S) NCOC (59)",PESOS,,914970
213422,PB,395031,"ANGIOPLASTIA CON BALON DE VASOS DE MIEMBROS SUPERIORES , CON PROTESIS (STENT) O INJERTO(S) PROTESICO (S) (59)",PESOS,,914970
213423,PB,395061,"ANGIOPLASTIA O ATERECTOMIA DE VASOS ABDOMINALES CON BALON, CON PROTESIS (STENT) O INJERTO(S) PROTESICO (S) NCOC (59)",PESOS,,914970
213423,PB,395081,"ANGIOPLASTIA O ATERECTOMIA DE VASOS DE MIEMBROS INFERIORES, CON BALON, PROTESIS (STENT) O INJERTO(S) PROTESICO (S) (59)",PESOS,,914970
213424,PB,395012,ANGIOPLASTIA O ATERECTOMIA CON BALON DE ARTERIA CAROTIDA (150),PESOS,,717465
213424,PB,395013,ANGIOPLASTIA O ATERECTOMIA CON BALON DE ARTERIA VERTEBRAL (150) (352) APLICA: únicamente para vasos extracraneanos (352),PESOS,,717465
213424,PB,395014,ANGIOPLASTIA O ATERECTOMIA CON BALON DE ARTERIA BASILAR (150) (352),PESOS,,717465
213426,PB,395015,"ANGIOPLASTIA DE ARTERIA CAROTIDA, CON PROTESIS (STENT) O INJERTO(S) PROTESICO (S) (352)",PESOS,,898095
213426,PB,395016,"ANGIOPLASTIA ARTERIA VERTEBRAL, CON PROTESIS (STENT) O INJERTO(S) PROTESICO (S) (352)",PESOS,,898095
213426,PB,395017,"ANGIOPLASTIA O ATERECTOMIA CON BALON DE ARTERIA BASILAR, CON PROTESIS (STENT) O INJERTO(S) PROTESICO (S) (352)",PESOS,,898095
213429,PB,380602,TROMBOLISIS ARTERIAL ABDOMINAL VIA ENDOVASCULAR (198) Tarifa por sesión (198),PESOS,,291145
